0,1,2,3,4,5,6,7
55297.0,-28585.0,-42435.0,-47703.0,-50117.0,-50045.0,-46082.0,-30876.0
60047.0,17389.0,-6910.0,-16805.0,-19608.0,-16767.0,-6945.0,17397.0
63872.0,31647.0,11304.0,1221.0,-1922.0,1106.0,11378.0,31825.0
67148.0,37293.0,18947.0,9394.0,6471.0,9261.0,18807.0,36495.0
69879.0,39025.0,21387.0,11508.0,8887.0,11684.0,20606.0,37544.0
71990.0,37812.0,19127.0,9586.0,6423.0,9176.0,18562.0,35410.0
74129.0,32522.0,11150.0,971.0,-1879.0,1050.0,10784.0,29466.0
75716.0,17669.0,-6931.0,-16322.0,-18515.0,-15721.0,-6389.0,15986.0
